Campaign,Asset Group,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Description 1,Description 2,Description 3,Description 4,Description 5,Call to action,Business name,Video ID 1,Video ID 2,Video ID 3,Video ID 4,Video ID 5,Path 1,Path 2,Final URL,Final mobile URL,Audience signal,Age demographic,Gender demographic,Income demographic,Parental status demographic,Remarketing audience segments,Interest categories,Life events,Custom audience segments,Detailed demographics,Ad Group,Product Group,Max CPC,Product Group Type
"SMY | UK | P Max | H&S - Men's Briefcases, Luxury, Leather, Bags",High AOV Bags,Smythson Luxury Leather Bags,British Luxury Since 1887,Heritage British Leather Craft,Timeless Elegant Leather Goods,Leather Bags to Cherish,Luxury Bags & Accessories,Artisan Crafted Leather Bags,Luxury Bags for Gifting,Shop Smythson Leather Bags,Handcrafted Leather Bags,For Life’s Daily Moments,Over 135 Years Of Expertise,Free Delivery On Orders £300+,,,New Autumn Winter luxury leather collection now available.,Smythson luxury leather goods. British heritage and timeless elegance since 1887.,Handcrafted from the finest leather. Sophisticated designs for discerning taste.,Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,"Dependable and stylish companions for work, travel, and daily use. British luxury refined.",New Autumn Winter luxury leather collection now available.,"Dependable and stylish companions for work, travel, and daily use. British luxury refined.",Handcrafted from the finest leather. Sophisticated designs for discerning taste.,Complimentary personalisation available. Make your luxury leather bag uniquely yours.,Smythson luxury leather goods. British heritage and timeless elegance since 1887.,Shop now,,HckdlWEj2sw,,,,,,,https://www.smythson.com/uk/bags/all-bags,,High Earning Business People - Bags
"SMY | UK | P Max | H&S - Men's Briefcases, Luxury, Leather, Bags","H&S - Briefcases, luxury, leather",Smythson of Bond Street™,Quintessential British Luxury,Over 135 Years Of Expertise,Smythson Luxury Leather Goods,Free Delivery On Orders £300+,Discover New Arrivals,Enjoy Complimentary Returns,Luxury Briefcases & Bags,Smythson Luxury Briefcases,Handcrafted Leather Briefcases,Luxury Leather Briefcases,Exclusive Luxury Gift Wrapping,Uncover Our Latest Collection,Discover Timeless Collections,Crafted for Modern Life,The Finer Details For Your 9-5 And Beyond – Handcrafted Smythson Leather Briefcases.,"Discover Smythson’s Handcrafted Briefcases And Bags, Designed For Work And Travel.",Crafted To Last A Lifetime. Discover Smythson’s Iconic Leather Briefcases and Bags.,Handcrafted Briefcases And Bags To Carry You From Work To Weekend.,"From Workday Meetings To Weekend Adventures, Elevate Your Day With A Smythson Bag.","Over 135 Years Of Craftsmanship, Embodied In Smythson’s Iconic Leather Designs.",Redefine The Everyday with Smythson’s Luxury Leather Briefcases and Bags.,Expertly Crafted Leather Briefcases That Celebrate Timeless Design.,"Handcrafted Leather Briefcases & Bags, Perfected For Over 135 Years.","Timeless Luxury For Work, Travel, And Every Day.",Shop now,,HckdlWEj2sw,,,,,,,https://www.smythson.com/uk/bags/all-bags/briefcases,,High Earning Business People - Bags
SMY | UK | P Max | H&S - New Customers,H&S - Diaries AW25,Smythson of Bond Street™,Luxury Leather Diaries,Over 137 Years Of Expertise,Luxury Leather Craftsmanship,Free Delivery On Orders £300+,Discover New Arrivals,Enjoy Complimentary Returns,Personalisation Available,Personalise Your Order Today,Discover Gifts For Him & Her,Shop The 2026 Diary Collection,Exclusive Luxury Gift Wrapping,Uncover Our Latest Collection,Smythson Portobello Diary,Crafted in England,The 2026 Diary Collection Has Arrived.,"Crafting stories for over 135 years, designed for a life well written.","Explore Our New Arrivals Collection - Signature Luxury Leather Diaries, Bags & More.","Your Year, Thoughtfully Organised In Signature Smythson Style.",,Start Planning Next Year’s Adventures With Our 2026 Diaries.,Crafted with Featherweight Paper And Leather For Effortless Planning,"Discover New Arrivals From Luxury Leather Diaries, Bags, Notebooks, Stationery & More.",Explore Gold-Stamped Initials Motifs & More To Make Your Diary Uniquely Yours.,"Luxury Stationery & Gifts, Made Uniquely Yours.",Shop now,,VUByT-ymkWQ,UxOwMxTeytw,,,,,,https://www.smythson.com/uk/diaries-and-books/diaries/all-diaries,,Generic
SMY | UK | P Max | H&S - New Customers,Heroes & Sidekicks,Smythson of Bond Street™,Quintessential British Luxury,Over 135 Years Of Expertise,Luxury Leather Craftsmanship,Free Delivery On Orders £300+,Discover New Arrivals,Enjoy Complimentary Returns,Personalisation Available,Personalise Your Order Today,Discover Gifts For Him & Her,Shop The 2026 Diary Collection,Exclusive Luxury Gift Wrapping,Uncover Our Latest Collection,Discover Timeless Collections,Crafted for Modern Life,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,Smythson Signatures In Autumnal Tones For The Season Ahead. Discover The New Collection.,"From Notebooks to Briefcases, Explore Luxury Design That Celebrates Craftsmanship.",Step Into The New Season With Handcrafted Classics In Seasonal Earthy Tones.,Refresh Your Repertoire For The Season Ahead With Our New Collection.,Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,"Crafting Stories For Over 135 Years, Designed To Celebrate The Joy Of The Handwritten.",Smythson's New Autumn Winter Arrivals - Discover Now.,"From Notebooks to Handbags, Explore Luxury Design That Celebrates Craftsmanship.",Discover Smythson's New Autumn Winter Collection.,Shop now,,VUByT-ymkWQ,UxOwMxTeytw,eSfFbBpXDsA,,,,,https://www.smythson.com/uk/new-arrivals,,Generic
SMY | UK | P Max | H&S - New Customers,Leopard Collection,Smythson of Bond Street™,The Leopard Collection,Explore The Leopard Edit Now,Exquisite Hand‑Drawn Print,Timeless Leopard Elegance,Distinctly Smythson Style,A Modern Take on an Icon,"Italian Print, London Design",Free Delivery On Orders £300+,For the Discerning Traveller,Signature Panama - Redefined,Created For Modern Life,Discover Smythson Today,A Collector’s Piece to Keep,Own the Season’s Boldest Edit,Signature Panama leather meets a bespoke print in The Leopard Collection,"Discover The Leopard Edit – luxury notebooks, travel accessories, and more","Hand‑drawn print, Italian craftsmanship – luxury in every detail","Iconic Smythson style, with a wild side","Explore The Leopard Edit, this season's boldest neutral","Discover The Leopard Edit – luxury notebooks, travel accessories, and more","Hand‑drawn print, Italian craftsmanship – luxury in every detail",Signature Panama leather meets a bespoke print in The Leopard Collection,"Explore The Leopard Edit, this season's boldest neutral","Iconic Smythson style, with a wild side",Shop now,,,,,,,The_Leopard,Edit,https://www.smythson.com/uk/edits/the-leopard-edit,,Generic
SMY | UK | P Max | H&S - New Customers,Remarketing Heroes & Sidekicks,Smythson of Bond Street™,Quintessential British Luxury,Over 135 Years Of Expertise,Luxury Leather Craftsmanship,Free Delivery On Orders £300+,Discover New Arrivals,Enjoy Complimentary Returns,Personalisation Available,Personalise Your Order Today,Discover Gifts For Him & Her,Shop The 2026 Diary Collection,Exclusive Luxury Gift Wrapping,Uncover Our Latest Collection,Discover Timeless Collections,Crafted for Modern Life,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,Smythson Signatures In Autumnal Tones For The Season Ahead. Discover The New Collection.,"From Notebooks to Briefcases, Explore Luxury Design That Celebrates Craftsmanship.",Step Into The New Season With Handcrafted Classics In Seasonal Earthy Tones.,Refresh Your Repertoire For The Season Ahead With Our New Collection.,Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,"Crafting Stories For Over 135 Years, Designed To Celebrate The Joy Of The Handwritten.",Smythson's New Autumn Winter Arrivals - Discover Now.,"From Notebooks to Handbags, Explore Luxury Design That Celebrates Craftsmanship.",Discover Smythson's New Autumn Winter Collection.,Shop now,,VUByT-ymkWQ,UxOwMxTeytw,eSfFbBpXDsA,,,,,https://www.smythson.com/uk/new-arrivals,,Remarketing Rok
SMY | UK | P Max | H&S 270 21/5,Heroes & Sidekicks,Smythson of Bond Street™,New Collection 2025,Autumn & Winter Collection,Discover New Arrivals,Shop Our New Collection,New Luxury Bags & Accessories,Smythson New Luxurious Arrival,Luxury Leather Craftsmanship,New-Season Collection,Icons Handcrafted Since 1887,Elevate Your Style This Season,Smythson's Latest Collection,New Autumn & Winter 2025,Discover The New Collection,Over 130 Years Of Expertise,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,"Handcrafted Bags To Everyday Accessories, Our New-Season Collection. Shop Now.",Smythson's New Autumn & Winter Arrival - Discover Our New Luxury Range Now.,Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,,Smythson's New Autumn & Winter Arrival - Discover Now.,New-Season Collection - Elevate Your Style This Season.,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,,Shop now,,O3Cb4aqwVjQ,FksOTQ8edq8,4D5YQe4RIj0,2TFh16iD0r8,fcySG2hd8_k,,,https://www.smythson.com/uk/new-arrivals,,Generic
SMY | UK | P Max | H&S 270 21/5,Leopard Collection,Smythson of Bond Street™,The Leopard Collection,Explore The Leopard Edit Now,Exquisite Hand‑Drawn Print,Timeless Leopard Elegance,Distinctly Smythson Style,A Modern Take on an Icon,"Italian Print, London Design",Free Delivery On Orders £300+,For the Discerning Traveller,Signature Panama - Redefined,Created For Modern Life,Discover Smythson Today,A Collector’s Piece to Keep,Own the Season’s Boldest Edit,Signature Panama leather meets a bespoke print in The Leopard Collection,"Discover The Leopard Edit – luxury notebooks, travel accessories, and more","Hand‑drawn print, Italian craftsmanship – luxury in every detail","Iconic Smythson style, with a wild side","Explore The Leopard Edit, this season's boldest neutral","Discover The Leopard Edit – luxury notebooks, travel accessories, and more","Hand‑drawn print, Italian craftsmanship – luxury in every detail",Signature Panama leather meets a bespoke print in The Leopard Collection,"Explore The Leopard Edit, this season's boldest neutral","Iconic Smythson style, with a wild side",Shop now,,O3Cb4aqwVjQ,FksOTQ8edq8,4D5YQe4RIj0,2TFh16iD0r8,fcySG2hd8_k,The_Leopard,Edit,https://www.smythson.com/uk/edits/the-leopard-edit,,All audiences combined
SMY | UK | P Max | H&S 270 21/5,Remarketing Heroes & Sidekicks,Smythson of Bond Street™,New Collection 2025,Autumn & Winter Collection,Discover New Arrivals,Shop Our New Collection,New Luxury Bags & Accessories,Smythson New Luxurious Arrival,Luxury Leather Craftsmanship,New-Season Collection,Icons Handcrafted Since 1887,Elevate Your Style This Season,Smythson's Latest Collection,New Autumn & Winter 2025,Discover The New Collection,Over 130 Years Of Expertise,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,"Handcrafted Bags To Everyday Accessories, Our New-Season Collection. Shop Now.",Smythson's New Autumn & Winter Arrival - Discover Our New Luxury Range Now.,Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,,Smythson's New Autumn & Winter Arrival - Discover Now.,New-Season Collection - Elevate Your Style This Season.,Icons Handcrafted The Same Storied Way Since 1887. Discover The New Collection Now.,Explore Our New Arrivals Collection - Signature Luxury Leather Bags & Accessories.,,Shop now,,O3Cb4aqwVjQ,FksOTQ8edq8,4D5YQe4RIj0,2TFh16iD0r8,fcySG2hd8_k,,,https://www.smythson.com/uk/new-arrivals,,Remarketing Rok
SMY | UK | P Max | H&S Christmas Gifting,Christmas Gifting for Her,Christmas Gifts She'll Adore,Meaningful Gifts She'll Love,Unique Christmas Gift Ideas,Smythson Christmas Selection,Smythson Premium Gift Range,Find Her Perfect Gift Today,Order Her Christmas Gift Now,Shop Smythson Gifts For Her,Gifts We Know She'll Adore,Make Her Christmas Sparkle,Make Christmas Unforgettable,Artisan Quality Accessories,Christmas Magic In A Box,Shop Premium Gifts Online,British Luxury Since 1887,Discover why Smythson has been creating luxury gifts since 1887 for special women,Choose from Smythson premium leather goods and accessories for her this Christmas,Discover the perfect Christmas present for her from our premium gift collection,Surprise the stylish woman in your life with luxury gifts that speak her language,Expert British craftsmanship meets luxury design in every Christmas gift for her,Give the gift of Smythson luxury with premium leather goods and elegant accessories,Shop the Smythson Christmas collection featuring signature quality and timeless design,Shop Christmas gifts for her now and discover why luxury makes the best presents,Little luxuries that create big impact and memories lasting long after Christmas,British craftsmanship meets luxury materials in every piece from our collection,Shop now,,HckdlWEj2sw,vpmqKyW5_-8,kQCkDDCrPjY,,,,,https://www.smythson.com/uk/gifts/gifts-for-her,,Christmas gifting
