NDA BUDGET REDUCTION PLAN - CAMPAIGN BY CAMPAIGN
Date:,"November 3, 2025"
Baseline:,"£39,996.40/month (October 2025 actual)"
Target:,"£33,000/month (18% reduction)"

Campaign Name,Market,YTD Conversions,CPA,Oct Spend,New Budget,Change %,Monthly Saving,Action,Rationale
NDA | Search | Brand - UAE  No Target 7/7,International,2.50,£471,£438.30,£438.30,0%,£0.00,KEEP,"Acceptable CPA (£471), UAE brand"

SUMMARY

Action,Campaigns,Current Spend,New Spend,Monthly Saving
PAUSE,10,"£3,623.15",£0.00,"£3,623.15"
REDUCE_50,3,"£1,441.80",£720.90,£720.90
REDUCE_30,10,"£9,840.50","£6,888.35","£2,952.15"
KEEP,16,"£25,090.93","£25,090.93",£0.00

TOTAL,39,"£39,996.40","£32,700.18","£7,296.20"
